SampleNumber,CTime,Duration,EnergyData
203,18.30241,90,1808.7
204,18.39246,90.05,1736.1
205,18.48254,90.08,1729.5
206,18.57256,90.03,1816.5
207,18.664,91.44,1737.7
208,18.75576,91.76,1831.7
209,18.84701,91.26,1888.9
210,18.93721,90.2,1758.2
211,19.02723,90.02,1739.8
212,19.11786,90.63,1808.7
213,19.20862,90.76,1906.5
214,19.29862,90.01,1842.2
215,19.38869,90.06,1829.2
216,19.47901,90.33,1789.4
217,19.56936,90.35,1809.9
218,19.6601,90.74,1744.7
219,19.7503,90.2,1773.3
220,19.84032,90.02,1928
221,19.93094,90.62,1726.7
222,20.02094,90,1735.4
223,20.11148,90.54,1819
224,20.20232,90.84,1811
225,20.29233,90.01,1896.4
226,20.38241,90.08,1885.5
227,20.47245,90.04,1716.7
228,20.56394,91.49,1801.4
229,20.65411,90.17,1821.5
230,20.74413,90.02,1807.1
231,20.83462,90.49,1861.5
232,20.92464,90.02,1733.3
233,21.01467,90.02,1758.7
234,21.10545,90.79,1827.1
235,21.1958,90.35,2030.3
236,21.28599,90.19,1987
237,21.37672,90.73,1828.1
238,21.46747,90.76,1705.8
239,21.55748,90,1806.9
240,21.64804,90.56,1891.1
241,21.73833,90.3,1919.4
242,21.82849,90.15,1886.8
243,21.9193,90.82,2026.9
244,22.01003,90.72,1694.3
245,22.1004,90.37,1725
246,22.1904,90,1783.4
247,22.28042,90.01,1759
248,22.3705,90.09,2019
249,22.46083,90.33,1937.1
250,22.55115,90.32,1999.5
251,22.64145,90.3,1901.6
252,22.73145,90,1913.6
253,22.82201,90.56,1811.7
254,22.91234,90.33,1855
255,23.00236,90.02,1710.1
256,23.09238,90.02,1695
257,23.18243,90.05,1747.6
258,23.27244,90.02,1823
259,23.36244,90,1853.5
260,23.45255,90.11,1912.7
261,23.54256,90.02,1662.5
262,23.63385,91.29,1884.8
263,23.72462,90.77,1696.1
264,23.81737,92.75,1736.5
265,23.90749,90.12,1835.5
266,23.99751,90.02,1776.4
267,24.08754,90.03,1648
268,24.17861,91.07,1809.1
269,24.26868,90.07,1759.3
270,24.3587,90.02,1853.5
271,24.44871,90,1924.9
272,24.53874,90.04,1831.5
273,24.62874,90,2104.9
274,24.7188,90.05,1954.6
275,24.80928,90.49,1977.4
276,24.89954,90.26,2043.1
277,24.99081,91.27,2056.8
278,25.08155,90.74,1961.5
279,25.17231,90.76,1925.5
280,25.26232,90.01,2117.9
281,25.35236,90.04,2007.6
282,25.44238,90.01,1959.1
283,25.53241,90.04,2113.5
284,25.62246,90.05,1985.7
285,25.71247,90.01,1924.3
286,25.80377,91.3,1987.7
287,25.89452,90.75,2129.4
288,25.98453,90.01,2056.9
289,26.07453,90.01,1936.2
290,26.1648,90.26,1916.9
291,26.25557,90.77,1962.2
292,26.3463,90.73,1939.8
293,26.43703,90.73,1323.3
294,26.52879,91.76,1339.2
295,26.61879,90,1254.4
296,26.70886,90.06,1272.9
297,26.79912,90.27,1307.5
298,26.88988,90.76,1565.8
