SampleNumber,CTime,Duration,EnergyData
898,81.1744,90.73,1286.3
899,81.26447,90.06,1223
900,81.35448,90.02,1270.1
901,81.44473,90.25,1367.3
902,81.53474,90,1296.4
903,81.62476,90.02,1297.1
904,81.71703,92.26,1243.4
905,81.80703,90.01,1271.1
906,81.89754,90.51,1230.2
907,81.9883,90.76,1461.2
908,82.07909,90.79,1254.7
909,82.16978,90.7,1295
910,82.25979,90,1218.2
911,82.35033,90.54,1264.1
912,82.44208,91.75,1243.3
913,82.53258,90.5,1299.9
914,82.6226,90.03,1264.6
915,82.71261,90,1289.4
916,82.8026,90,1210.4
917,82.89265,90.04,1331.8
918,82.98267,90.03,1205.9
919,83.07267,90,1318.8
920,83.16268,90,1290.5
921,83.25349,90.81,1239.6
922,83.34422,90.73,1255.7
923,83.43423,90,1209
924,83.52477,90.54,1243.9
925,83.61552,90.76,1256.4
926,83.70728,91.75,1404.7
927,83.79803,90.76,1275.5
928,83.88876,90.73,1241.3
929,83.97876,90,1234.4
930,84.0703,91.54,1453
931,84.16109,90.79,1265.2
932,84.25182,90.73,1286.1
933,84.3419,90.08,1229.4
934,84.43191,90,1326.2
935,84.52194,90.04,1272.3
936,84.61198,90.03,1326.2
937,84.70222,90.24,1274.5
938,84.79227,90.06,1332.8
939,84.88235,90.08,1196.7
940,84.97253,90.18,1220.8
941,85.06258,90.05,1262.8
942,85.15262,90.03,1377
943,85.24265,90.03,1310.4
944,85.33356,90.91,1242.7
945,85.42483,91.27,1272.4
946,85.51504,90.21,1214.5
947,85.60513,90.09,1255.7
948,85.69558,90.44,1290.8
949,85.78636,90.79,1228.1
950,85.87708,90.72,1264.5
951,85.96787,90.79,1232
952,86.05787,90,1253.6
953,86.14851,90.63,1257.3
954,86.23884,90.33,1343
955,86.33056,91.72,1248.4
956,86.42056,90,1201.4
957,86.51057,90,1213.7
958,86.60181,91.24,1322.2
959,86.69258,90.78,1287.8
960,86.78259,90,1244.1
961,86.87265,90.06,1238.8
962,86.96265,90,1185.5
963,87.0527,90.04,1234.1
964,87.1434,90.71,1385.9
965,87.23515,91.75,1303
966,87.3259,90.76,1276.6
967,87.41605,90.15,1201.6
968,87.50635,90.28,1188.1
969,87.59709,90.75,1267.6
970,87.68784,90.75,1305.9
971,87.77858,90.73,1284.7
972,87.86938,90.81,1250.9
973,87.96012,90.73,1245.9
974,88.05085,90.72,1210
975,88.1414,90.56,1245.4
976,88.23141,90.01,1414.6
977,88.32215,90.73,1297.2
978,88.41264,90.48,1240.5
979,88.50263,90,1205.4
980,88.59263,90,1247.1
981,88.68263,90,1288
982,88.77267,90.03,1283.9
983,88.86267,90,1273.7
984,88.95302,90.35,1258.8
985,89.04303,90.01,1184.1
986,89.13464,91.61,1268
987,89.2254,90.76,1676.6
988,89.31569,90.29,1260.1
989,89.40648,90.79,1267
990,89.49655,90.07,1246.2
991,89.58701,90.45,1231
992,89.67779,90.78,1319.1
993,89.76852,90.73,1283.1
994,89.85927,90.75,1263.5
995,89.94928,90.01,1206.9
996,90.03978,90.49,1310.2
997,90.13055,90.78,1426
998,90.22131,90.76,1486.8
999,90.31204,90.73,1300.3
1000,90.40264,90.6,1212.2
1001,90.49265,90.02,1179.1
1002,90.58267,90.02,1228.3
1003,90.6727,90.02,1194.6
1004,90.76311,90.41,1323.7
1005,90.85346,90.36,1209
1006,90.94379,90.33,1207
1007,91.03457,90.78,1267.8
1008,91.12531,90.73,1217.5
1009,91.21537,90.07,1211.4
1010,91.30585,90.48,1320.3
1011,91.39658,90.74,1223.1
1012,91.48736,90.78,1218
1013,91.57809,90.73,1239
1014,91.6681,90.01,1218.6
1015,91.75842,90.33,1361.2
1016,91.84937,90.94,1244.8
1017,91.93938,90.02,1271.5
1018,92.02941,90.03,1227.2
1019,92.11971,90.3,1268.4
1020,92.20972,90.02,1259
1021,92.30028,90.55,1307.2
1022,92.39201,91.72,1231.6
1023,92.48259,90.58,1210.6
1024,92.57259,90,1257.6
1025,92.66261,90.03,1246.8
1026,92.75262,90,1245.3
1027,92.84265,90.02,1305
1028,92.93265,90,1270.6
1029,93.02269,90.04,1227.9
1030,93.11271,90.03,1256.5
1031,93.20289,90.17,1200.9
1032,93.29368,90.79,1338.6
1033,93.38415,90.47,1203.9
1034,93.4742,90.05,1230.5
1035,93.56493,90.74,1233.8
1036,93.65517,90.24,1200.9
1037,93.74519,90.01,1439.7
1038,93.83562,90.44,2111.7
1039,93.92641,90.79,1716.7
1040,94.01675,90.33,1273
1041,94.10679,90.05,1266.6
1042,94.19727,90.47,1221.1
1043,94.28799,90.72,1271.3
1044,94.37834,90.36,1252.8
1045,94.46845,90.11,1312.7
1046,94.55846,90.01,1364.8
1047,94.64895,90.49,1335.2
1048,94.7397,90.75,1245.2
1049,94.83047,90.76,1381.7
1050,94.92122,90.76,1226
1051,95.01134,90.12,1267.1
1052,95.10134,90,1229.2
1053,95.19166,90.31,1334.5
1054,95.28181,90.15,1309.1
1055,95.37257,90.76,1304.1
1056,95.46265,90.09,1226.9
1057,95.55266,90,1297.5
1058,95.64266,90,1238.3
1059,95.73268,90.02,1253.6
1060,95.82268,90,1228.6
1061,95.91272,90.05,1365.6
1062,96.00273,90.01,1202.3
1063,96.0946,91.87,1431.1
1064,96.18491,90.31,1211.8
1065,96.27492,90.01,1248.3
1066,96.36563,90.71,1235.2
1067,96.45795,92.32,1338.4
1068,96.54872,90.76,1309
1069,96.63944,90.72,1207.5
1070,96.72946,90.03,1212.2
1071,96.81996,90.49,1306.2
1072,96.91045,90.5,1301.1
1073,97.00047,90.01,1273.6
1074,97.09107,90.6,1266.5
1075,97.18201,90.94,1227.7
1076,97.27243,90.42,1250.4
1077,97.36259,90.15,1227.2
1078,97.45267,90.08,1292.1
1079,97.54267,90,1193.8
1080,97.63268,90,1267.6
1081,97.72271,90.04,1261.6
1082,97.81274,90.03,1205.7
1083,97.90317,90.43,1225.2
1084,97.99343,90.27,1564
1085,98.08369,90.26,1274.8
1086,98.17432,90.63,1224.7
1087,98.26819,93.87,1321
1088,98.35899,90.79,1339.8
1089,98.44904,90.05,1208.5
1090,98.53948,90.45,1246.8
1091,98.63023,90.75,1249.8
1092,98.72198,91.76,1495.3
1093,98.81261,90.63,1262.1
1094,98.90267,90.06,1232.5
1095,98.99271,90.03,1288.1
1096,99.08274,90.04,1244.9
1097,99.17285,90.11,1196.4
1098,99.26355,90.7,1279.2
1099,99.35434,90.78,1287
1100,99.44519,90.86,1216.9
1101,99.53546,90.27,1203.6
1102,99.62582,90.36,1299.3
1103,99.71656,90.74,1272.8
1104,99.80731,90.76,1473.1
1105,99.89806,90.75,1339
1106,99.93395,35.89,518.9
