SampleNumber,CTime,Duration,PowerData
879,79.45916,90.09,15396.83
880,79.54992,90.76,13945.86
881,79.64024,90.33,13815.21
882,79.73026,90.02,13130.01
883,79.82076,90.5,14638.99
884,79.91155,90.79,14681.54
885,80.00227,90.72,13660.43
886,80.09257,90.3,14686.44
887,80.18257,90,14012.36
888,80.27258,90,13721.04
889,80.36258,90.01,14605.26
890,80.4526,90.02,14328.26
891,80.5426,90,13196.31
892,80.63264,90.05,14176.08
893,80.72266,90.02,13475.51
894,80.81266,90.01,13964.38
895,80.90312,90.46,14858.62
896,80.99313,90,18138.59
897,81.08367,90.54,13493.88
898,81.1744,90.73,14177.1
899,81.26447,90.06,13578.93
900,81.35448,90.02,14109.08
901,81.44473,90.25,15149.84
902,81.53474,90,14404
903,81.62476,90.02,14408.3
904,81.71703,92.26,13476.59
905,81.80703,90.01,14121.36
906,81.89754,90.51,13591.81
907,81.9883,90.76,16099.46
908,82.07909,90.79,13820.25
909,82.16978,90.7,14278.02
910,82.25979,90,13535.01
911,82.35033,90.54,13961.53
912,82.44208,91.75,13550.73
913,82.53258,90.5,14364.17
914,82.6226,90.03,14047.43
915,82.71261,90,14326.3
916,82.8026,90,13449.37
917,82.89265,90.04,14791.09
918,82.98267,90.03,13394.76
919,83.07267,90,14653.12
920,83.16268,90,14338.43
921,83.25349,90.81,13650.2
922,83.34422,90.73,13839.85
923,83.43423,90,13432.93
924,83.52477,90.54,13737.9
925,83.61552,90.76,13843.92
926,83.70728,91.75,15310.02
927,83.79803,90.76,14053.46
928,83.88876,90.73,13682.31
929,83.97876,90,13715.56
930,84.0703,91.54,15872.04
931,84.16109,90.79,13935.1
932,84.25182,90.73,14175.99
933,84.3419,90.08,13648.83
934,84.43191,90,14735.37
935,84.52194,90.04,14130.17
936,84.61198,90.03,14729.92
937,84.70222,90.24,14123.28
938,84.79227,90.06,14799.68
939,84.88235,90.08,13284.26
940,84.97253,90.18,13536.94
941,85.06258,90.05,14024.25
942,85.15262,90.03,15293.83
943,85.24265,90.03,14555.31
944,85.33356,90.91,13669.32
945,85.42483,91.27,13941.3
946,85.51504,90.21,13462.11
947,85.60513,90.09,13938.79
948,85.69558,90.44,14272.66
949,85.78636,90.79,13526.97
950,85.87708,90.72,13937.79
951,85.96787,90.79,13569.62
952,86.05787,90,13928.55
953,86.14851,90.63,13872.73
954,86.23884,90.33,14866.43
955,86.33056,91.72,13610.83
956,86.42056,90,13348.57
957,86.51057,90,13485.61
958,86.60181,91.24,14491.22
959,86.69258,90.78,14186.62
960,86.78259,90,13822.54
961,86.87265,90.06,13756.25
962,86.96265,90,13172.09
963,87.0527,90.04,13705.55
964,87.1434,90.71,15278.87
965,87.23515,91.75,14202.06
966,87.3259,90.76,14065.11
967,87.41605,90.15,13328.57
968,87.50635,90.28,13160
969,87.59709,90.75,13968.05
970,87.68784,90.75,14389.8
971,87.77858,90.73,14158.76
972,87.86938,90.81,13774.03
973,87.96012,90.73,13731.33
974,88.05085,90.72,13337
975,88.1414,90.56,13752.92
976,88.23141,90.01,15715.41
977,88.32215,90.73,14297.05
978,88.41264,90.48,13710.87
979,88.50263,90,13393.65
980,88.59263,90,13855.6
981,88.68263,90,14311.38
982,88.77267,90.03,14260.68
983,88.86267,90,14151.72
984,88.95302,90.35,13932.51
985,89.04303,90.01,13155.59
986,89.13464,91.61,13841.71
987,89.2254,90.76,18472.69
988,89.31569,90.29,13956.38
989,89.40648,90.79,13954.77
990,89.49655,90.07,13834.89
991,89.58701,90.45,13609.7
992,89.67779,90.78,14531.09
993,89.76852,90.73,14141.78
994,89.85927,90.75,13922.82
995,89.94928,90.01,13408.9
996,90.03978,90.49,14478.3
997,90.13055,90.78,15708.28
998,90.22131,90.76,16381.69
999,90.31204,90.73,14331.78
1000,90.40264,90.6,13379.86
1001,90.49265,90.02,13098.67
1002,90.58267,90.02,13644.59
1003,90.6727,90.02,13270.93
1004,90.76311,90.41,14640.45
1005,90.85346,90.36,13380.13
1006,90.94379,90.33,13362.83
1007,91.03457,90.78,13965.69
1008,91.12531,90.73,13419.13
1009,91.21537,90.07,13450.3
1010,91.30585,90.48,14592.79
1011,91.39658,90.74,13479.59
1012,91.48736,90.78,13416.83
1013,91.57809,90.73,13655.47
1014,91.6681,90.01,13538.64
1015,91.75842,90.33,15069.36
1016,91.84937,90.94,13687.47
1017,91.93938,90.02,14125.87
1018,92.02941,90.03,13631.89
1019,92.11971,90.3,14046.9
1020,92.20972,90.02,13986.3
1021,92.30028,90.55,14435.47
1022,92.39201,91.72,13427.41
1023,92.48259,90.58,13364.3
1024,92.57259,90,13972.41
1025,92.66261,90.03,13849.63
1026,92.75262,90,13836.32
1027,92.84265,90.02,14496.03
1028,92.93265,90,14117.48
1029,93.02269,90.04,13636.81
1030,93.11271,90.03,13956.81
1031,93.20289,90.17,13317.89
1032,93.29368,90.79,14743.59
1033,93.38415,90.47,13308.11
1034,93.4742,90.05,13664.63
1035,93.56493,90.74,13597.43
1036,93.65517,90.24,13308.8
1037,93.74519,90.01,15995.2
1038,93.83562,90.44,23348.03
1039,93.92641,90.79,18908.19
1040,94.01675,90.33,14093.5
1041,94.10679,90.05,14066.16
1042,94.19727,90.47,13497.17
1043,94.28799,90.72,14012.74
1044,94.37834,90.36,13865.02
1045,94.46845,90.11,14568.18
1046,94.55846,90.01,15163.04
1047,94.64895,90.49,14754.83
1048,94.7397,90.75,13721.73
1049,94.83047,90.76,15223.69
1050,94.92122,90.76,13507.89
1051,95.01134,90.12,14059.45
1052,95.10134,90,13657.07
1053,95.19166,90.31,14776.15
1054,95.28181,90.15,14522.55
1055,95.37257,90.76,14368.68
1056,95.46265,90.09,13618.28
1057,95.55266,90,14416.32
1058,95.64266,90,13758.06
1059,95.73268,90.02,13926.52
1060,95.82268,90,13650.79
1061,95.91272,90.05,15165.65
1062,96.00273,90.01,13357.63
1063,96.0946,91.87,15576.96
1064,96.18491,90.31,13418.84
1065,96.27492,90.01,13867.64
1066,96.36563,90.71,13616.28
1067,96.45795,92.32,14497.27
1068,96.54872,90.76,14422.53
1069,96.63944,90.72,13309.72
1070,96.72946,90.03,13465.33
1071,96.81996,90.49,14434.25
1072,96.91045,90.5,14376.47
1073,97.00047,90.01,14148.36
1074,97.09107,90.6,13978.92
1075,97.18201,90.94,13499.22
1076,97.27243,90.42,13829.74
1077,97.36259,90.15,13613.58
1078,97.45267,90.08,14343.8
1079,97.54267,90,13263.59
1080,97.63268,90,14084.25
1081,97.72271,90.04,14011.26
1082,97.81274,90.03,13393.41
1083,97.90317,90.43,13548.71
1084,97.99343,90.27,17327.01
1085,98.08369,90.26,14124.2
1086,98.17432,90.63,13513.28
1087,98.26819,93.87,14072.65
1088,98.35899,90.79,14757.31
1089,98.44904,90.05,13420.44
1090,98.53948,90.45,13784.68
1091,98.63023,90.75,13771.78
1092,98.72198,91.76,16296.23
1093,98.81261,90.63,13926.72
1094,98.90267,90.06,13685.87
1095,98.99271,90.03,14307.52
1096,99.08274,90.04,13826.14
1097,99.17285,90.11,13277.28
1098,99.26355,90.7,14103.49
1099,99.35434,90.78,14176.29
1100,99.44519,90.86,13393.4
1101,99.53546,90.27,13332.76
1102,99.62582,90.36,14379.8
1103,99.71656,90.74,14027.25
1104,99.80731,90.76,16230.92
1105,99.89806,90.75,14755.09
1106,99.93395,35.89,14455.64
